name,genre,cost,platform,popularity,pegi,year,developer,publisher,region,mode,engine,award,dlc_support,language,metascore,user_score,reviews,rating_source,copies_sold_millions,revenue_millions_usd
Overwatch,Indie,83.23,Mobile,22,unknown,2018,Nintendo,Microsoft,NA/EU,Co-op,CryEngine,Nominated,Yes,CN,80/100,5.0,N/A,Metacritic ,1.5M,82.1
Untitled Project,Strategy,67.97,Switch ,76.86526005030726,7,1999,Ubisoft,Sony,Global,Multiplayer,Custom Engine,None,?,ES,80/100,0.5,N/A,IGN,N/A,?
The Sims 4,Indie,108.27,Switch ,529.4326256089206,RP,2007,Nintendo,Nintendo,NA,Single ,Unity ,GOTY ,?,ES,80/100,?,36236.74704690656,Metacritic ,15.58,N/A
Elden Ring,action,119.84,Mobile,82,RP,2003,Rockstar,Ubisoft,NA/EU,Online,Unity ,?,No,DE,N/A,1.9,?,IGN ,?,N/A
Animal Crossing: New Horizons,action,0,pc,40,?,1995,Capcom,?,EU,?,Unreal Engine,?,?,EN,95.4,9/10,?,Metacritic,N/A,N/A
Valorant,Simulation,N/A,Xbox,211.3293521379095,RP,N/A,Capcom,2K,EU,Multi ,Unreal Engine,GOTY ,Y,EN/ES,N/A,9/10,680,Metacritic ,30M,$500M
The Witcher 3: Wild Hunt,Puzzle,0,PC,N/A,3,2008,Ubisoft,Activision,JP,Multiplayer,Unity,GOTY ,Y,DE,80/100,9/10,80764.72584441847,Steam,N/A,$500M
Game Prototype,Indie,Free,Mobile,46,12,1986,Ubisoft,Unknown ,JP,Multiplayer,Custom Engine,Indie Award,N,IT,?,9/10,17763,Metacritic ,5.45,1722.3
Red Dead Redemption 2,Simulation,Free,PS,411.83099571873726,unknown,1998,EA,Bandai Namco,?,Online,Unity,GotY,No,?,80/100,N/A,?,Steam,N/A,?
Sekiro: Shadows Die Twice,Adventure,Free,Xbox,924.1694647689669,unknown,2009,Sony,Unknown ,EU,Single-player,Custom Engine,Nominated,N,DE,N/A,9/10,62792.96402350515,Steam,?,$500M
FIFA 23,?,?,Nintendo Switch,6,18,9999,Capcom,Sega,NA/EU,Multi ,CryEngine,GOTY ,?,EN/ES,N/A,2.4,?,OpenCritic,1.5M,?
Sekiro: Shadows Die Twice,Simulation,Free,Mobile,655.063257120248,12,2021,Rockstar,IndiePub,Global,Single-player,?,?,No,DE,47.5,N/A,N/A,?,15.18,N/A
Call of Duty: Modern Warfare,action,$65,XBOX,915.6494474429262,12,1998,nintendo,Ubisoft,?,Single ,Unity,Nominated,?,ES,80/100,N/A,N/A,?,?,$1B
N/A,Action,Free,PlayStation,455.897856259742,unknown,2024,EA,Sony,?,Multi ,Unreal Engine,GOTY ,?,PT,80/100,0.7,33650.24174448669,Metacritic,36.85,?
FIFA 23,action,N/A,PC,91,unknown,2023,Nintendo,Nintendo,JP,Co-op,Custom Engine,Nominated,Y,?,27.3,?,N/A,Metacritic ,?,658.2
The Witcher 3: Wild Hunt,Unknown,Free,pc,N/A,12,1998,Microsoft,Bandai Namco,Global ,Multiplayer,CryEngine,GOTY ,?,CN,N/A,0.1,41746,?,30M,$500M
Cyberpunk 2077,Shooter,?,Nintendo Switch,3,unknown,2009,EA,2K,JP,Single-player,Frostbite,None,Y,Multiple,?,?,56792.686658579994,Steam,1.5M,N/A
The Witcher 3: Wild Hunt,Simulation,0,PlayStation,N/A,?,2003,Unknown,EA,NA,?,Custom Engine,None,Yes,EN,57.1,N/A,9704.69852450222,Metacritic ,1.5M,?
Halo Infinite,Action,Free,Mobile,90,18+,2011,Ubisoft,EA,Global,?,Unreal Engine,Indie Award,N,Multiple,N/A,?,N/A,Steam,N/A,?
NBA 2K24,Puzzle,N/A,PS,N/A,RP,2012,Microsoft,Activision,JP,Multi ,Unity ,Nominated,N,PT,57.7,3.8,6170.642586794251,OpenCritic,?,$500M
Overwatch,Action,?,Nintendo Switch,30.994217253378032,3,1990,Rockstar,Nintendo,Global,?,Unity ,GOTY ,Y,?,79.3,?,99864.73118497751,IGN ,18.31,N/A
Fortnite,Strategy,31.2,Switch ,588.8460342382906,?,2022,Square Enix,EA,NA/EU,Online,Unity ,Nominated,No,Multiple,N/A,5.1,N/A,Steam,45.84,?
Untitled Project,Action,Free,Mobile,438.75333029816045,18,2013,Unknown,EA,Global ,Multi ,Custom,NONE,Unknown,?,N/A,2.3,49503.64680777902,Steam,8.23,1436.3
Final Fantasy VII Remake,Strategy,105.1,Mobile,287.1873840080901,12,1988,Ubisoft ,2K,JP,Single ,Unreal Engine,GotY,Y,?,64.8,7.3,9547,Metacritic,25.92,1327.0
League of Legends,?,75.51,XBOX,89,12,1987,Bethesda,Microsoft,EU,Online,Unreal Engine,GOTY ,Unknown,EN,99.9,9/10,2628,?,30M,1198.5
Assassin’s Creed Valhalla,Unknown,Free,PS,?,?,1992,Ubisoft ,Square Enix,EU,Online,Custom,Indie Award,Yes,EN,?,6.7,?,?,1.5M,$500M
Minecraft,Adventure,0,PS,?,unknown,2022,Ubisoft,Activision,EU,Online,Unity ,NONE,Unknown,EN,?,9/10,49030.1964094051,?,1.5M,?
Final Fantasy VII Remake,Shooter,36.66,Mobile,364.4842643869364,18,2003,CapCom,2K,?,Single-player,Custom,GOTY ,Yes,CN,80/100,?,43322.41045044335,IGN ,?,N/A
The Legend of Zelda: Breath of the Wild,Sports,$49,PlayStation,49,16,2013,Sony,EA,Global,Single-player,CryEngine,None,?,FR,80/100,?,N/A,Metacritic ,1.5M,$1B
Cyberpunk 2077,RPG ,Free,PlayStation,995.8865403596571,unknown,2001,Ubisoft ,IndiePub,Global ,Online,Unity,Indie Award,?,IT,?,N/A,?,Steam,30M,N/A
Grand Theft Auto V,Adventure,Free,Nintendo Switch,N/A,18+,1992,Sony,Ubisoft,EU,Co-op,Unreal Engine,NONE,N,ES,?,N/A,?,OpenCritic,1.5M,$1B
Cyberpunk 2077,?,N/A,Mobile,N/A,7+,?,nintendo,Unknown ,Global ,Single-player,Frostbite,Indie Award,Unknown,FR,N/A,9/10,42289.34375854012,Metacritic,N/A,$500M
 ,?,N/A,PlayStation,85,18+,2005,Ubisoft ,Bandai Namco,Global ,Co-op,Unreal Engine,GOTY ,Unknown,ES,N/A,0.1,4867,Steam,30M,$500M
God of War,RPG ,?,PS,3.8196353190770305,unknown,1996,Square Enix,Sony,JP,Co-op,Frostbite,NONE,N,CN,?,N/A,10936,IGN,35.04,$500M
Final Fantasy VII Remake,RPG,0,Mobile,384.05871453541374,7+,1994,Unknown,Unknown ,NA,Single ,?,GOTY ,Y,ES,79.4,?,?,Metacritic,N/A,?
Ghost of Tsushima,Adventure,Free,Switch ,N/A,7+,1990,Ubisoft ,Microsoft,?,Single ,Unity ,GotY,Yes,FR,80/100,1.5,31052.939999018625,Metacritic ,?,$1B
Untitled Project,Unknown,$39,PC,894.9801168714712,?,1995,Rockstar,Square Enix,JP,Co-op,Custom Engine,GOTY ,N,CN,?,9/10,85562.56436695065,IGN ,5.22,$1B
Sekiro: Shadows Die Twice,Shooter,$24,Xbox,742.957029047736,7+,1999,EA,Unknown ,Global ,Online,Unreal Engine,Nominated,No,PT,?,5.6,N/A,Steam,29.89,20.6
Ghost of Tsushima,action,0,PC,76,7,?,EA,Unknown ,Global ,?,Unity ,NONE,No,?,68.2,?,?,Metacritic,?,$500M
Ghost of Tsushima,Sports,76.1,Nintendo Switch,52.5713870666813,18+,1991,Square Enix,EA,JP,?,Unreal Engine,GotY,Maybe,JP,?,N/A,36300,Metacritic,23.46,$500M
Valorant,Puzzle,?,PC,26,3,2020,Square Enix,Sony,Global,Multiplayer,Unreal Engine,None,N,EN,80/100,?,25465,Metacritic ,35.64,?
Apex Legends,RPG,N/A,XBOX,?,16,2023,Ubisoft,Square Enix,Global,Single-player,Unity,GOTY ,No,?,65.4,?,N/A,?,47.05,$500M
Game Prototype,Adventure,Free,PlayStation,23,12,2013,CapCom,2K,Global ,Multiplayer,CryEngine,Nominated,Maybe,Multiple,80/100,N/A,N/A,Metacritic ,?,1577.7
Assassin’s Creed Valhalla,Sports,$53,Mobile,96,7+,2000,Bethesda,Ubisoft,NA,Single-player,Unity ,Nominated,Maybe,EN/ES,?,8.9,?,Metacritic ,30M,?
FIFA 23,Indie,$69,PlayStation,N/A,unknown,2008,Ubisoft ,Sony,JP,Multi ,Custom,None,Yes,IT,28.5,9/10,24308,?,30M,N/A
Overwatch,RPG,N/A,Nintendo Switch,196.36058004562895,18+,2000,nintendo,Bandai Namco,EU,Online,Custom,NONE,Maybe,Multiple,67.2,3.3,N/A,OpenCritic,47.49,$500M
Final Fantasy VII Remake,Shooter,0,PS,N/A,12,2022,Square Enix,Microsoft,?,Online,Unity ,None,N,DE,74.0,0.9,27531.50294686485,OpenCritic,1.5M,N/A
Elden Ring,RPG ,0,XBOX,73,3,2007,Rockstar,?,JP,?,Custom,?,Unknown,ES,80/100,9/10,53376.45454645828,IGN ,5.39,?
Untitled Project,Shooter,Free,PS,98,7+,N/A,Ubisoft ,Square Enix,JP,Multiplayer,Frostbite,NONE,Unknown,CN,N/A,?,?,Metacritic,?,$500M
Red Dead Redemption 2,Strategy,N/A,Nintendo Switch,N/A,unknown,1997,CapCom,Microsoft,NA,?,Unreal Engine,Indie Award,Y,EN/ES,49.3,9/10,17167,OpenCritic,?,$500M
Assassin’s Creed Valhalla,Strategy,N/A,Xbox,?,12,1998,Ubisoft,Square Enix,JP,Multiplayer,Custom Engine,?,Yes,EN/ES,80/100,1.0,31073,OpenCritic,N/A,?
Assassin’s Creed Valhalla,Adventure,N/A,Switch ,N/A,7,2002,Microsoft,2K,Global ,Multi ,Unity,Indie Award,Yes,CN,80/100,9/10,30215,OpenCritic,31.7,$1B
Red Dead Redemption 2,Shooter,0,Mobile,?,18,2015,Ubisoft,Nintendo,JP,Single ,Unreal Engine,?,N,EN/ES,33.0,?,?,Metacritic ,8.01,N/A
The Legend of Zelda: Breath of the Wild,Action,?,XBOX,224.3643266276848,3,2001,Ubisoft,Unknown ,?,Co-op,Unity ,NONE,N,EN/ES,?,2.8,34475,OpenCritic,1.82,?
Fortnite,Action,?,Nintendo Switch,?,3,1992,CapCom,Sega,NA/EU,?,?,?,No,IT,80/100,N/A,20261.532608202226,Metacritic,27.3,$1B
Horizon Zero Dawn,?,N/A,PC,?,18+,2004,Ubisoft,?,Global,Multiplayer,Unity ,NONE,Yes,CN,N/A,N/A,62080.36668452428,OpenCritic,?,$1B
Dark Souls III,Adventure,Free,PlayStation,94,?,2016,Square Enix,?,NA/EU,Multi ,Unity,GOTY ,Yes,EN,N/A,9.4,?,IGN,1.5M,$1B
Minecraft,?,N/A,PlayStation,N/A,3,1988,Bethesda,Square Enix,EU,?,Unity,Nominated,N,EN/ES,?,9/10,?,Steam,?,$1B
N/A,Indie,$26,pc,N/A,?,1985,Rockstar,EA,EU,Multiplayer,CryEngine,Nominated,N,JP,67.9,9/10,18701,Metacritic ,N/A,$1B
 ,action,0,Xbox,?,unknown,2022,EA,EA,JP,Multiplayer,Custom Engine,GOTY ,No,EN,N/A,7.6,N/A,?,N/A,1067.9
FIFA 23,Unknown,53.74,Nintendo Switch,53,12,?,Square Enix,Sega,EU,Online,CryEngine,None,Maybe,CN,?,N/A,81643.71180968668,OpenCritic,N/A,$500M
Red Dead Redemption 2,RPG,114.98,XBOX,24,7,1998,Rockstar,?,?,Multiplayer,Custom Engine,NONE,Unknown,EN,?,5.6,36195,IGN ,1.5M,?
Sekiro: Shadows Die Twice,Unknown,$58,Mobile,?,?,2014,Ubisoft ,Unknown ,EU,?,Custom Engine,None,N,JP,80/100,N/A,19891,Metacritic ,N/A,$1B
The Sims 4,Adventure,26.85,XBOX,55,7,2014,Ubisoft ,Activision,JP,Single ,Custom,None,?,ES,N/A,9/10,?,Steam,1.5M,?
Valorant,Adventure,0,PC,7,3,2014,Rockstar,Nintendo,NA,Co-op,Custom,NONE,Y,Multiple,46.7,?,?,Steam,?,?
Elden Ring,action,$60,XBOX,330.38102340416884,RP,1990,Rockstar,Sega,Global ,Single ,Unreal Engine,GotY,No,PT,N/A,3.5,?,OpenCritic,30.01,1658.2
NBA 2K24,Puzzle,N/A,Switch ,206.88040994854052,unknown,2002,Nintendo,Microsoft,Global ,Single ,?,NONE,Unknown,DE,52.5,9/10,?,?,N/A,?
Grand Theft Auto V,Simulation,35.08,PlayStation,?,16,2007,Rockstar,Activision,JP,?,Custom Engine,None,N,EN/ES,80/100,N/A,N/A,Metacritic,30M,$1B
League of Legends,action,?,XBOX,?,16,2010,Microsoft,2K,EU,?,Custom Engine,Nominated,Y,PT,N/A,9/10,?,Metacritic,?,1818.5
Fortnite,Adventure,44.14,PC,76,RP,2017,Activision,Activision,Global,Multi ,Custom Engine,Indie Award,No,DE,55.2,9/10,23672.337855383274,?,26.58,1410.8
Overwatch,Adventure,?,XBOX,N/A,7+,1994,Square Enix,Activision,Global,Single-player,?,?,N,EN/ES,88.5,9/10,31303,?,32.52,$1B
 ,Adventure,$53,Xbox,?,3,2002,Rockstar,IndiePub,?,?,Custom Engine,NONE,Yes,EN/ES,80/100,N/A,43980.12609922266,Metacritic,1.5M,N/A
Persona 5 Royal,Puzzle,N/A,Xbox,24.095471508420395,18,1987,Ubisoft ,EA,JP,Single-player,Custom,Nominated,Maybe,FR,80/100,9/10,N/A,?,N/A,N/A
 ,?,?,XBOX,?,3,2017,Rockstar,Activision,Global,Single ,Unity,?,Yes,Multiple,N/A,?,42881.33906889312,Metacritic ,1.5M,342.2
Animal Crossing: New Horizons,Puzzle,$30,pc,84,7+,9999,Unknown,Sega,Global ,?,Custom Engine,NONE,N,Multiple,?,N/A,9414.970533991174,Metacritic,30M,?
The Legend of Zelda: Breath of the Wild,Racing,41.0,Xbox,?,16,2023,Ubisoft,Sega,NA,Single ,Unity,?,N,EN,80/100,?,?,Steam,?,$500M
Grand Theft Auto V,Unknown,81.06,Xbox,90,16,2001,Sony,Unknown ,EU,Co-op,Custom Engine,None,N,IT,80/100,?,7934.908350105019,Metacritic,N/A,$500M
Elden Ring,?,Free,Xbox,93,18+,2013,Ubisoft,Activision,Global ,Online,Unity,NONE,Unknown,JP,N/A,?,4535,Metacritic,N/A,?
Super Mario Odyssey,Puzzle,Free,pc,N/A,7+,2010,nintendo,Ubisoft,Global ,Online,Frostbite,Indie Award,Maybe,CN,73.4,N/A,N/A,Metacritic ,1.5M,1884.4
Hades,Adventure,N/A,Xbox,N/A,18+,1985,Microsoft,Activision,EU,Online,Unreal Engine,None,?,PT,?,9/10,48629.506638459876,Metacritic,?,$500M
N/A,Shooter,$21,Switch ,68.7672444684666,unknown,2005,Square Enix,Bandai Namco,JP,Single ,Custom Engine,GotY,Maybe,DE,?,7.6,?,Metacritic ,17.96,1460.7
 ,Unknown,39.53,Switch ,37,3,1991,Ubisoft ,IndiePub,?,Multi ,Unity,NONE,Yes,CN,82.9,?,N/A,Metacritic,1.5M,$500M
Dark Souls III,RPG ,0,PS,N/A,7,2003,nintendo,Microsoft,?,Single ,Custom Engine,GotY,Yes,FR,N/A,9/10,?,IGN ,N/A,$500M
Hades,Sports,Free,Nintendo Switch,?,7+,2013,Bethesda,Sony,JP,Co-op,Unity ,None,Maybe,EN/ES,N/A,?,N/A,Metacritic,30M,N/A
Doom Eternal,Strategy,0,PS,N/A,12,1986,Activision,2K,JP,Online,Unity,GOTY ,No,?,80/100,9/10,?,IGN ,1.5M,$500M
Ghost of Tsushima,Action,0,Nintendo Switch,818.1161268085879,12,1990,Ubisoft,Microsoft,NA/EU,Multi ,CryEngine,Nominated,No,Multiple,80/100,9/10,44236.30899825409,Metacritic,N/A,?
FIFA 23,?,N/A,XBOX,951.6601876828804,3,1985,Bethesda,?,JP,?,?,None,Yes,EN,N/A,9/10,N/A,Metacritic ,24.76,700.1
Halo Infinite,Unknown,Free,Nintendo Switch,?,RP,1986,nintendo,Nintendo,NA/EU,?,Unity,GotY,Y,IT,29.9,N/A,12356.882222962406,IGN ,15.36,N/A
Final Fantasy VII Remake,action,0,Switch ,55,18+,2023,Rockstar,Nintendo,JP,Co-op,Custom,GotY,Y,IT,N/A,4.9,5667.963355915329,IGN ,30M,155.3
Hades,Racing,N/A,Nintendo Switch,?,?,2009,Rockstar,EA,EU,Multiplayer,?,None,?,PT,80/100,1.9,35877,Metacritic ,1.5M,$1B
The Sims 4,Puzzle,$59,Switch ,28,12,2023,Nintendo,Square Enix,Global ,Co-op,Unreal Engine,Indie Award,Unknown,IT,81.3,9/10,90638.37802771122,Metacritic,33.87,$1B
Sekiro: Shadows Die Twice,Adventure,31.11,Switch ,?,?,1993,Bethesda,IndiePub,Global ,Multiplayer,Custom Engine,GOTY ,N,ES,N/A,1.7,N/A,?,25.9,?
NBA 2K24,Indie,91.01,pc,40,RP,2005,Microsoft,Bandai Namco,Global ,?,Custom Engine,Nominated,?,IT,N/A,9/10,N/A,Metacritic,40.83,849.5
Resident Evil 4,Simulation,$22,PC,N/A,?,2007,Capcom,Activision,?,Single-player,Custom Engine,None,Maybe,CN,?,?,5974,Metacritic,1.5M,1542.1
Resident Evil 4,?,Free,PC,85,18,2022,Rockstar,Bandai Namco,EU,Single-player,Unity ,None,Unknown,?,80/100,2.6,22959,OpenCritic,39.12,$1B
N/A,Racing,47.55,Nintendo Switch,79,3,1985,Bethesda,Activision,NA,Multi ,CryEngine,None,No,CN,80/100,?,N/A,IGN ,30M,133.7
Red Dead Redemption 2,Puzzle,N/A,PC,96,RP,N/A,Unknown,Square Enix,JP,?,Custom Engine,None,?,CN,80/100,1.0,N/A,Metacritic ,?,?
The Legend of Zelda: Breath of the Wild,Unknown,90.4,XBOX,?,12,1993,Bethesda,Nintendo,Global ,?,Unity,Indie Award,?,FR,80/100,4.7,N/A,Steam,1.5M,1372.6
Sekiro: Shadows Die Twice,Indie,N/A,Xbox,409.9205012222351,7+,2017,Capcom,Sega,EU,Co-op,Custom Engine,Nominated,N,FR,?,9/10,N/A,Steam,?,N/A
Grand Theft Auto V,Shooter,0,PS,15.282418299959243,18,2018,Activision,Ubisoft,Global,?,Unity,GOTY ,?,EN,N/A,2.5,?,Steam,6.24,$500M
Minecraft,Shooter,50.81,PS,89.28792380367679,?,2000,EA,Activision,NA/EU,Multiplayer,Unity ,None,Yes,EN/ES,63.9,?,?,?,1.5M,$500M
FIFA 23,Action,N/A,XBOX,N/A,?,2008,Ubisoft,?,JP,Single ,CryEngine,None,N,CN,61.0,?,23747.093005859177,Steam,10.15,$500M
NBA 2K24,Racing,0,Xbox,?,?,2018,Unknown,Square Enix,EU,?,Frostbite,Nominated,Yes,Multiple,?,N/A,9112,IGN,?,?
Call of Duty: Modern Warfare,RPG ,?,Xbox,N/A,RP,2001,Square Enix,Sony,Global,Multiplayer,Unreal Engine,NONE,Maybe,IT,N/A,N/A,56883.7086986826,Steam,8.96,?
Animal Crossing: New Horizons,RPG ,?,PC,83,7+,2009,Unknown,Bandai Namco,EU,Multi ,Custom,None,Maybe,?,32.4,?,27934,?,?,N/A
Apex Legends,Racing,54.86,pc,90.54735173892092,7+,1994,Ubisoft,IndiePub,Global,Co-op,Unity ,NONE,Yes,Multiple,52.8,3.1,?,OpenCritic,1.5M,$1B
N/A,Sports,$70,PC,19,18,2016,nintendo,Nintendo,?,Single-player,CryEngine,GOTY ,No,EN,?,?,N/A,Metacritic,1.5M,$1B
Overwatch,Sports,101.08,Xbox,115.46646506982295,18,2001,Microsoft,IndiePub,NA/EU,Multiplayer,?,GOTY ,?,EN/ES,N/A,?,85117.80704005648,Steam,?,$1B
Apex Legends,Racing,N/A,Xbox,N/A,unknown,1985,Bethesda,Sega,NA,?,?,Indie Award,Maybe,FR,80/100,6.5,?,IGN,30M,$1B
FIFA 23,Action,Free,Nintendo Switch,72,7,2017,Activision,Bandai Namco,NA,?,Unity ,Indie Award,?,CN,N/A,9/10,24260,?,?,?
Hades,Shooter,Free,Nintendo Switch,41,unknown,1987,Square Enix,Sega,EU,Co-op,Unreal Engine,GotY,Yes,EN,78.7,?,6039,IGN,1.5M,$1B
Elden Ring,Adventure,Free,Mobile,N/A,3,2024,Bethesda,Sony,Global,Single ,Custom,Nominated,Unknown,Multiple,80/100,9/10,N/A,Steam,11.88,$500M
Horizon Zero Dawn,Strategy,N/A,Xbox,493.07441164499653,18+,2018,Capcom,Activision,JP,Single ,?,Nominated,Yes,ES,22.2,N/A,?,Steam,N/A,$1B
Hades,RPG ,105.48,Mobile,715.0285079929259,18+,2019,Rockstar,Sony,NA,Multi ,Frostbite,GotY,Yes,FR,N/A,4.8,N/A,OpenCritic,1.5M,$1B
Sekiro: Shadows Die Twice,Unknown,N/A,pc,61,?,1996,Activision,Square Enix,EU,?,Unity,Nominated,Yes,IT,80/100,?,N/A,OpenCritic,11.54,?
Super Mario Odyssey,Action,N/A,Nintendo Switch,41,RP,1991,Nintendo,IndiePub,NA,Multi ,CryEngine,Nominated,Unknown,Multiple,?,N/A,2106.6126635971737,?,N/A,$500M
Overwatch,Action,N/A,PlayStation,?,3,1996,Microsoft,2K,NA/EU,Co-op,?,GotY,N,EN/ES,80/100,N/A,?,Steam,32.77,$1B
Apex Legends,Racing,Free,PS,N/A,12,2013,Nintendo,2K,Global ,Single ,Unity,Indie Award,?,EN,?,7.2,46788,Steam,1.5M,?
Sekiro: Shadows Die Twice,Strategy,?,PS,?,12,?,Unknown,IndiePub,NA,?,Unreal Engine,Indie Award,Unknown,?,90.3,9/10,N/A,IGN,22.45,?
Untitled Project,Indie,0,PC,91,12,2019,Nintendo,Unknown ,Global ,Multi ,Custom,GotY,N,CN,45.9,?,?,OpenCritic,30M,885.7
Doom Eternal,Puzzle,?,Nintendo Switch,?,7+,2020,nintendo,2K,Global,Multiplayer,?,Indie Award,Maybe,EN,N/A,8.7,N/A,OpenCritic,38.8,1012.4
Unknown Game,?,Free,Switch ,207.90446427943465,18+,2012,Capcom,Activision,Global ,Multi ,Frostbite,NONE,?,EN/ES,?,N/A,18588,Steam,?,?
Assassin’s Creed Valhalla,Racing,119.73,Xbox,N/A,7,2013,Sony,2K,JP,Co-op,CryEngine,Indie Award,Maybe,IT,?,9/10,N/A,OpenCritic,30M,1705.9
Dark Souls III,Adventure,?,pc,974.594813047483,18,2007,CapCom,Square Enix,Global,Co-op,Unreal Engine,NONE,Yes,DE,?,?,N/A,Metacritic ,1.5M,N/A
The Legend of Zelda: Breath of the Wild,Strategy,Free,PS,17,unknown,2021,Activision,Unknown ,JP,Multi ,CryEngine,None,Maybe,JP,N/A,0.3,19320.983408980373,Steam,36.28,250.8
League of Legends,Simulation,Free,PlayStation,N/A,?,2015,Sony,Microsoft,JP,Multiplayer,Unity ,None,Maybe,JP,N/A,4.2,4525,Metacritic ,?,462.4
Horizon Zero Dawn,RPG,$57,PS,69,18+,2001,Activision,Bandai Namco,EU,Co-op,Unity,GotY,Y,EN/ES,?,N/A,?,Metacritic,1.5M,N/A
Valorant,Unknown,Free,PlayStation,562.2497987559783,18,2021,EA,Square Enix,NA,Co-op,Unreal Engine,GotY,Unknown,DE,92.2,?,N/A,Metacritic ,1.5M,53.4
Overwatch,Sports,?,Xbox,N/A,?,1988,Sony,EA,NA/EU,Single ,Custom Engine,?,Unknown,IT,N/A,N/A,26921,IGN,N/A,$1B
Red Dead Redemption 2,Sports,$49,XBOX,731.7569248863815,?,2007,Unknown,Nintendo,NA,Single ,Unreal Engine,?,Yes,CN,N/A,N/A,89909.27190646798,?,43.42,?
FIFA 23,Action,$53,PlayStation,100,18,1993,Ubisoft,Sega,?,Multi ,Custom,?,Unknown,?,N/A,4.5,7609,Metacritic ,N/A,$500M
Red Dead Redemption 2,RPG,Free,Switch ,279.5919279152743,unknown,2016,Activision,Nintendo,NA/EU,Online,?,None,No,DE,?,8.7,?,Metacritic ,30M,$1B
